0.00;0.00;0.00
-23.74;152.26;14.36
-6.82;-8.29;-0.59
-28.89;140.60;12.88
-10.64;-22.19;-2.55
-31.68;125.59;10.83
-12.72;-37.17;-4.27
-33.39;111.78;9.86
-14.36;-48.68;-4.09
-34.65;102.47;11.70
-14.85;-56.84;-0.78
-34.58;95.18;15.84
-14.43;-63.53;3.53
-34.02;88.83;19.67
-13.94;-69.82;6.24
-33.81;82.33;20.60
-14.14;-76.41;4.95
-34.27;75.91;17.51
-14.67;-82.67;0.72
-34.67;69.79;12.82
-14.73;-88.68;-3.76
-34.20;63.87;9.21
-13.54;-94.54;-5.84
-32.66;58.21;8.87
-11.96;-99.93;-4.97
-30.73;52.95;10.53
-9.35;-105.18;-2.94
-27.13;47.59;12.50
-4.45;-110.79;-1.45
-20.60;41.61;13.09
3.71;-115.92;-1.80
-11.33;38.50;12.18
13.59;-117.19;-3.04
-1.36;38.92;10.82
23.14;-115.24;-4.29
7.26;42.23;9.91
30.32;-110.73;-4.64
12.76;49.29;10.38
34.42;-100.36;-3.36
15.73;61.90;12.28
36.55;-86.59;-1.02
17.29;75.75;14.88
37.82;-73.73;1.63
18.55;86.55;17.41
38.80;-64.79;4.52
18.93;94.65;20.97
38.75;-57.38;8.34
18.60;101.53;24.64
38.31;-50.87;11.45
18.22;107.82;26.76
38.15;-44.65;12.17
18.38;113.69;25.79
38.52;-39.37;9.78
18.80;118.62;22.41
38.83;-34.55;5.84
18.86;123.55;18.34
38.46;-29.27;2.06
17.90;129.41;15.30
37.42;-22.71;-0.58
17.06;136.51;12.57
36.35;-15.27;-3.21
15.34;144.09;10.21
33.53;-7.76;-5.11
10.98;151.32;8.94
27.20;-1.02;-5.57
3.02;156.91;9.55
18.44;2.88;-4.00
-6.23;159.07;11.70
8.99;3.24;-1.67
-15.58;157.60;13.84
0.06;-0.09;-0.10
